housenum,acre,acregroup,adj1998,adj2007,adj2011,bedgroup,bedrooms,bikescore,diff2014,distance,distgroup,garage_spaces,garagegroup,housenum,latitude,longitude,no_full_baths,no_half_baths,no_rooms,pctchange,price1998,price2007,price2011,price2014,sfgroup,squarefeet,streetno,streetname,zip,Full address,walkscore
27,0.13,<= 1/4 acre,196.5987,309.6825,263.3171,4+ beds,4,83,90.89035,0.216739,Closer,0,no,27,42.32828,-72.6423,1,0,8,46.23142,134.5,269.5,248.6,287.489,<= 1500 sf,1.466,155,Franklin Street,1060,155 Franklin Street MA 1060,60
28,0.23,<= 1/4 acre,193.6753,293.0205,227.4102,3 beds,3,28,29.39175,1.91,Farther Away,1,yes,28,42.32333,-72.6903,1,0,6,15.17579,132.5,255,214.7,223.067,> 1500 sf,1.636,7,Golden Drive,1062,7 Golden Drive MA 1062,18
29,0.21,<= 1/4 acre,178.3274,282.1041,221.7965,4+ beds,4,46,59.2666,0.708523,Farther Away,1,yes,29,42.34472,-72.6679,1,0,7,33.23471,122,245.5,209.4,237.594,<= 1500 sf,1.335,27,Grandview Street,1062,27 Grandview Street MA 1062,32
30,0.14,<= 1/4 acre,204.638,282.6786,261.9402,4+ beds,4,32,70.58,2.011742,Farther Away,0,no,30,42.31978,-72.6978,2,0,6,34.49017,140,246,247.3,275.218,> 1500 sf,1.512,31,Gregory Lane,1062,31 Gregory Lane MA 1062,14
31,0.21,<= 1/4 acre,181.2508,278.0822,249.6534,4+ beds,4,27,99.0322,1.991667,Farther Away,1,yes,31,42.31979,-72.6978,2,0,8,54.63821,124,242,235.7,280.283,> 1500 sf,1.752,32,Gregory Lane,1062,32 Gregory Lane MA 1062,18
32,0.14,<= 1/4 acre,211.2157,320.5989,226.457,3 beds,3,88,26.57335,0.892045,Farther Away,0,no,32,42.3189,-72.6247,1,0,8,12.58115,144.5,279,213.8,237.789,> 1500 sf,1.912,8,Hancock St,1060,8 Hancock St MA 1060,92
33,0.26,> 1/4 acre,151.286,237.8637,205.6966,3 beds,3,38,40.40805,0.875379,Farther Away,0,no,33,42.34692,-72.6681,1,0,5,26.70972,103.5,207,194.2,191.694,<= 1500 sf,0.942,34,Harold Street,1062,34 Harold Street MA 1062,22
34,0.56,> 1/4 acre,238.988,434.9344,400.1658,3 beds,3,87,126.5181,0.329545,Closer,0,no,34,42.32862,-72.6401,2,0,8,52.93909,163.5,378.5,377.8,365.506,> 1500 sf,1.675,24,Hayes Avenue,1060,24 Hayes Avenue MA 1060,57
35,0.11,<= 1/4 acre,271.1454,509.0513,457.7862,4+ beds,4,74,203.0997,0.326515,Closer,1,yes,35,42.3256,-72.6408,2,0,7,74.90435,185.5,443,432.2,474.245,> 1500 sf,1.8,33,Hillside Road,1060,33 Hillside Road MA 1060,68
36,0.32,> 1/4 acre,196.5987,285.5514,275.9216,3 beds,3,48,62.88135,0.704356,Farther Away,0,no,36,42.32603,-72.6617,2,0,6,31.98463,134.5,248.5,260.5,259.48,<= 1500 sf,1.412,90,Hinckley Street,1062,90 Hinckley Street MA 1062,37
37,0.5,> 1/4 acre,216.3316,348.7519,281.2176,3 beds,3,44,110.5594,0.866856,Farther Away,2,yes,37,42.32469,-72.6611,2,0,7,51.10645,148,303.5,265.5,326.891,> 1500 sf,1.763,36,Hinckley Street,1062,36 Hinckley Street MA 1062,31
38,0.34,> 1/4 acre,213.4082,345.8791,244.1456,4+ beds,4,77,15.4208,0.204735,Closer,2,yes,38,42.33467,-72.6438,2,0,7,7.225964,146,301,230.5,228.829,> 1500 sf,1.796,155,Jackson Street,1060,155 Jackson Street MA 1060,48
39,0.19,<= 1/4 acre,290.1475,486.6439,414.7827,4+ beds,4,75,136.3526,0.138826,Closer,2,yes,39,42.33007,-72.6456,2,0,7,46.99423,198.5,423.5,391.6,426.5,> 1500 sf,2.224,14,Jackson Street,1060,14 Jackson Street MA 1060,48
40,0.11,<= 1/4 acre,240.4497,394.1413,375.8042,3 beds,3,49,110.3164,1.145455,Farther Away,0,no,40,42.32027,-72.6516,1,0,6,45.87919,164.5,343,354.8,350.766,> 1500 sf,1.602,33,James Avenue,1060,33 James Avenue MA 1060,42
41,0.28,> 1/4 acre,187.0976,317.1516,301.5542,4+ beds,4,79,92.0894,0.179545,Closer,1,yes,41,42.34074,-72.6737,2,0,9,49.21998,128,276,284.7,279.187,> 1500 sf,1.9,60,Lake Street,1062,60 Lake Street MA 1062,65
42,0.1,<= 1/4 acre,130.0913,226.9473,194.9987,3 beds,3,33,84.6457,2.28,Farther Away,0,no,42,42.35347,-72.6426,1,0,6,65.06638,89,197.5,184.1,214.737,<= 1500 sf,1.348,10,Laurel Park,1060,10 Laurel Park MA 1060,11
43,0.1,<= 1/4 acre,139.5924,248.2056,190.8678,1-2 beds,2,33,73.36665,2.28,Farther Away,0,no,43,42.35375,-72.6426,1,0,5,52.55779,95.5,216,180.2,212.959,<= 1500 sf,1.084,16,Laurel Park,1060,16 Laurel Park MA 1060,11
44,0.1,<= 1/4 acre,175.404,333.8136,250.9245,1-2 beds,2,33,125.962,0.42197,Closer,0,no,44,42.35393,-72.6425,1,1,4,71.8125,120,290.5,236.9,301.366,> 1500 sf,1.83,22,Laurel Park,1060,22 Laurel Park MA 1060,11
45,0.1,<= 1/4 acre,66.50735,162.5977,145.0045,1-2 beds,2,33,77.85865,2.28,Farther Away,0,no,45,42.35441,-72.6425,1,0,4,117.0677,45.5,141.5,136.9,144.366,<= 1500 sf,0.587,31,Laurel Park,1060,31 Laurel Park MA 1060,11
46,0.1,<= 1/4 acre,152.7477,284.9768,284.9248,3 beds,3,33,165.6004,2.28,Farther Away,0,no,46,42.35441,-72.6425,2,0,6,108.4143,104.5,248,269,318.348,<= 1500 sf,1.389,73,Laurel Park,1060,73 Laurel Park MA 1060,11
47,0.1,<= 1/4 acre,125.7062,195.347,155.4906,1-2 beds,1,32,59.4348,2.28,Farther Away,0,no,47,42.35441,-72.6425,1,0,4,47.28072,86,170,146.8,185.141,<= 1500 sf,0.645,96,Laurel Park,1060,96 Laurel Park MA 1060,11
48,0.1,<= 1/4 acre,60.66055,175.2378,141.721,1-2 beds,1,32,71.47445,2.28,Farther Away,0,no,48,42.35385,-72.6425,1,0,4,117.8269,41.5,152.5,133.8,132.135,<= 1500 sf,0.804,107,Laurel Park,1060,107 Laurel Park MA 1060,11
49,0.1,<= 1/4 acre,94.27965,206.2635,201.7776,1-2 beds,2,32,105.9394,2.28,Farther Away,0,no,49,42.31009,-72.6491,1,0,5,112.3671,64.5,179.5,190.5,200.219,<= 1500 sf,0.8,117,Laurel Park,1060,117 Laurel Park MA 1060,11
50,0.26,> 1/4 acre,242.6422,495.8367,467.2131,4+ beds,5,49,282.4698,1.21,Farther Away,2,yes,50,42.32154,-72.6639,3,0,8,116.4141,166,431.5,441.1,525.112,> 1500 sf,3.07,14,Liberty Street,1062,14 Liberty Street MA 1062,22
51,0.35,> 1/4 acre,149.8243,240.1619,211.84,3 beds,3,25,60.87675,2.53,Farther Away,2,yes,51,42.3123,-72.6891,1,1,5,40.63211,102.5,209,200,210.701,<= 1500 sf,0.864,12,Longview Drive,1062,12 Longview Drive MA 1062,9
52,0.46,> 1/4 acre,141.7849,227.5218,181.0173,3 beds,3,26,43.7231,3.48,Farther Away,0,no,52,42.31363,-72.6889,1,0,5,30.83763,97,198,170.9,185.508,<= 1500 sf,0.864,76,Longview Drive,1062,76 Longview Drive MA 1062,11
53,0.43,> 1/4 acre,162.2487,243.6092,209.8275,4+ beds,4,21,47.6963,2.4,Farther Away,0,no,53,42.31313,-72.689,1,0,6,29.39703,111,212,198.1,209.945,<= 1500 sf,1.008,52,Longview Drive,1062,52 Longview Drive MA 1062,11
54,0.28,> 1/4 acre,123.5137,190.7506,172.2259,1-2 beds,1,97,19.18835,0.126894,Closer,0,no,54,42.31808,-72.6316,1,0,4,15.53541,84.5,166,162.6,142.702,<= 1500 sf,0.524,182,Main Street,1060,182 Main Street MA 1060,94
55,0.55,> 1/4 acre,225.8327,382.6503,332.4829,1-2 beds,2,43,141.5514,0.732197,Farther Away,0,no,55,42.32651,-72.6631,1,1,7,62.67975,154.5,333,313.9,367.384,> 1500 sf,1.856,117,Maplewood Terrace,1062,117 Maplewood Terrace MA 1062,37
56,0.28,> 1/4 acre,160.787,247.6311,212.8992,3 beds,3,43,40.656,0.935038,Farther Away,0,no,56,42.34671,-72.6663,1,0,5,25.28563,110,215.5,201,201.443,<= 1500 sf,0.96,26,Mary Jane Lane,1062,26 Mary Jane Lane MA 1062,22
57,0.55,> 1/4 acre,261.6443,448.149,359.4925,4+ beds,4,75,99.2257,0.39053,Closer,2,yes,57,42.33407,-72.6773,1,1,9,37.92389,179,390,339.4,360.87,> 1500 sf,2.542,61,Meadow St,1062,61 Meadow St MA 1062,80
58,0.18,<= 1/4 acre,220.7167,347.0282,303.249,3 beds,3,83,92.9233,0.285795,Closer,1,yes,58,42.33367,-72.6689,1,0,8,42.10071,151,302,286.3,313.64,<= 1500 sf,1.395,17,Middle St,1062,17 Middle St MA 1062,72
59,0.26,> 1/4 acre,214.1391,287.275,235.7779,3 beds,3,83,56.48295,0.203598,Closer,1,yes,59,42.33366,-72.6693,2,0,7,26.37676,146.5,250,222.6,270.622,<= 1500 sf,1.349,27,Middle St,1062,27 Middle St MA 1062,72
60,0.25,<= 1/4 acre,199.5221,295.3187,244.5693,1-2 beds,2,60,58.56895,0.502462,Farther Away,0,no,60,42.3301,-72.6663,1,1,6,29.35463,136.5,257,230.9,258.091,<= 1500 sf,1.3,113,Nonotuck Street,1062,113 Nonotuck Street MA 1062,54
61,0.22,<= 1/4 acre,251.4124,374.6066,323.9034,4+ beds,4,85,105.8906,0.09678,Closer,2,yes,61,42.33846,-72.672,1,1,8,42.11829,172,326,305.8,357.303,> 1500 sf,2.256,66,North Maple Street,1062,66 North Maple Street MA 1062,69
62,0.31,> 1/4 acre,196.5987,316.5771,266.4947,1-2 beds,2,85,93.34735,0.115341,Closer,2,yes,62,42.33859,-72.672,1,0,5,47.48118,134.5,275.5,251.6,289.946,> 1500 sf,1.519,69,North Maple Street,1062,69 North Maple Street MA 1062,69
63,0.26,> 1/4 acre,208.2923,295.3187,265.8592,3 beds,3,69,87.84975,0.385985,Closer,2,yes,63,42.34286,-72.6719,1,0,7,42.1762,142.5,257,251,296.142,<= 1500 sf,1.454,160,North Maple Street,1062,160 North Maple Street MA 1062,40
64,0.19,<= 1/4 acre,237.5263,361.9665,314.7942,3 beds,3,55,93.86075,0.75625,Farther Away,1,yes,64,42.32656,-72.6562,1,1,6,39.51595,162.5,315,297.2,331.387,> 1500 sf,1.584,43,Nutting Avenue,1062,43 Nutting Avenue MA 1062,31
65,0.14,<= 1/4 acre,202.4455,303.3624,380.6765,4+ beds,4,69,186.7966,0.6375,Farther Away,2,yes,65,42.30915,-72.6364,1,0,7,92.27007,138.5,264,359.4,389.242,> 1500 sf,1.624,38,Olive St,1060,38 Olive St MA 1060,55
66,0.24,<= 1/4 acre,351.5389,575.6991,469.5434,4+ beds,6,71,143.6792,0.111364,Closer,2,yes,66,42.33279,-72.6526,3,0,11,40.87149,240.5,501,443.3,495.218,> 1500 sf,2.85,19,Pilgrim Dr,1060,19 Pilgrim Dr MA 1060,35
67,0.37,> 1/4 acre,194.4061,277.5077,238.6378,3 beds,3,76,51.6139,0.300568,Closer,1,yes,67,42.33219,-72.67,1,0,7,26.54953,133,241.5,225.3,246.02,<= 1500 sf,1.376,67,Pine St,1062,67 Pine St MA 1062,75
68,0.28,> 1/4 acre,181.9817,267.7403,222.432,3 beds,3,39,30.91035,1.58,Farther Away,1,yes,68,42.32207,-72.6862,1,0,7,16.98542,124.5,233,210,212.892,<= 1500 sf,1.427,32,Pioneer Knolls,1062,32 Pioneer Knolls MA 1062,15
69,0.23,<= 1/4 acre,303.3028,500.4331,400.3776,3 beds,3,69,80.83725,0.166098,Closer,1,yes,69,42.33144,-72.6509,1,1,8,26.65233,207.5,435.5,378,384.14,> 1500 sf,1.837,23,Prospect Avenue,1060,23 Prospect Avenue MA 1060,37
70,0.16,<= 1/4 acre,199.5221,338.41,307.168,3 beds,3,87,95.65995,0.192045,Closer,0,no,70,42.32719,-72.6389,1,0,7,47.94455,136.5,294.5,290,295.182,<= 1500 sf,1.386,193,Prospect Street,1060,193 Prospect Street MA 1060,71
71,0.2,<= 1/4 acre,248.489,545.8225,465.4125,3 beds,3,83,271.658,0.355303,Closer,2,yes,71,42.32884,-72.6419,2,1,6,109.324,170,475,439.4,520.147,> 1500 sf,1.966,248,Prospect Street,1060,248 Prospect Street MA 1060,60
72,0.12,<= 1/4 acre,214.8699,351.6246,312.8877,3 beds,3,70,69.6141,0.16572,Closer,0,no,72,42.33406,-72.6474,1,0,6,32.39826,147,306,295.4,284.484,<= 1500 sf,1.376,63,Ridgewood Terrace,1060,63 Ridgewood Terrace MA 1060,37
73,0.33,> 1/4 acre,200.2529,316.0025,284.8189,3 beds,3,51,28.3121,1.72,Farther Away,0,no,73,42.33193,-72.6144,2,0,6,14.13817,137,275,268.9,228.565,<= 1500 sf,1.2,140,Riverbank Rd.,1060,140 Riverbank Rd. MA 1060,25
74,0.33,> 1/4 acre,227.2944,410.2287,378.4522,3 beds,3,55,219.9757,0.911364,Farther Away,2,yes,74,42.32465,-72.657,2,0,8,96.78008,155.5,357,357.3,447.27,> 1500 sf,1.734,101,Riverside Drive,1062,101 Riverside Drive MA 1062,31
75,0.36,> 1/4 acre,219.9859,331.5154,287.1491,3 beds,3,53,66.17715,0.785227,Farther Away,0,no,75,42.32727,-72.6698,2,0,7,30.08246,150.5,288.5,271.1,286.163,> 1500 sf,1.556,557,Riverside Drive,1062,557 Riverside Drive MA 1062,54
76,0.38,> 1/4 acre,178.3274,279.2313,213.5347,3 beds,3,57,44.5366,0.985985,Farther Away,0,no,76,42.30439,-72.6644,2,0,6,24.97463,122,243,201.6,222.864,> 1500 sf,1.7,266,Rocky Hill Road,1062,266 Rocky Hill Road MA 1062,2
77,0.18,<= 1/4 acre,173.2115,272.9113,291.1741,4+ beds,4,70,136.8066,0.357197,Closer,1,yes,77,42.31,-72.6503,2,0,7,78.98239,118.5,237.5,274.9,310.018,> 1500 sf,2.042,35,Rust Avenue,1060,35 Rust Avenue MA 1060,25
78,0.39,> 1/4 acre,178.3274,257.973,250.0771,3 beds,3,37,33.3976,1.87178,Farther Away,1,yes,78,42.32076,-72.6902,1,1,6,18.72825,122,224.5,236.1,211.725,<= 1500 sf,1.32,372,Ryan Road,1062,372 Ryan Road MA 1062,17
79,0.46,> 1/4 acre,197.3295,302.2133,235.4602,3 beds,3,35,68.7945,2.89,Farther Away,2,yes,79,42.30989,-72.7051,1,0,7,34.86275,135,263,222.3,266.124,> 1500 sf,1.728,842,Ryan Road,1062,842 Ryan Road MA 1062,6
80,0.27,> 1/4 acre,164.4413,254.5257,213.6406,3 beds,3,32,49.84775,2.942803,Farther Away,1,yes,80,42.30908,-72.7104,1,0,6,30.31341,112.5,221.5,201.7,214.289,<= 1500 sf,1.294,900,Ryan Road,1062,900 Ryan Road MA 1062,3
81,0.51,> 1/4 acre,160.787,242.4601,213.111,3 beds,3,41,50.317,1.589962,Farther Away,1,yes,81,42.32204,-72.6889,1,0,5,31.2942,110,211,201.2,211.104,<= 1500 sf,0.966,311,Ryan Road,1062,311 Ryan Road MA 1062,17
82,0.54,> 1/4 acre,222.9093,219.4781,210.463,1-2 beds,2,36,-5.91725,1.939962,Farther Away,0,no,82,42.31671,-72.6956,1,0,4,-2.65456,152.5,191,198.7,216.992,<= 1500 sf,1.008,540,Ryan Road,1062,540 Ryan Road MA 1062,14
83,0.35,> 1/4 acre,192.9444,266.5912,216.3946,3 beds,3,35,9.5406,2.577083,Farther Away,2,yes,83,42.31138,-72.7029,1,1,7,4.944741,132,232,204.3,202.485,> 1500 sf,1.594,788,Ryan Road,1062,788 Ryan Road MA 1062,6
84,0.22,<= 1/4 acre,233.1412,341.8573,307.8035,4+ beds,4,84,196.2269,0.200189,Closer,1,yes,84,42.33419,-72.6662,1,1,9,84.16654,159.5,297.5,290.6,429.368,> 1500 sf,1.817,168,South Main Street,1062,168 South Main Street MA 1062,66
85,0.28,> 1/4 acre,161.5179,237.8637,211.0986,3 beds,3,34,47.18515,1.75,Farther Away,0,no,85,42.32095,-72.6817,1,0,5,29.21358,110.5,207,199.3,208.703,<= 1500 sf,0.96,116,Sandy Hill Rd,1062,116 Sandy Hill Rd MA 1062,20
86,0.18,<= 1/4 acre,221.4476,324.0462,252.0896,4+ beds,4,77,27.96545,0.154356,Closer,1,yes,86,42.33154,-72.6251,1,0,7,12.62848,151.5,282,238,249.413,<= 1500 sf,1.344,65,Sherman Avenue,1060,65 Sherman Avenue MA 1060,58
87,0.17,<= 1/4 acre,219.255,322.8971,273.5914,4+ beds,4,60,113.419,0.385985,Closer,2,yes,87,42.33078,-72.6633,2,0,7,51.72927,150,281,258.3,332.674,<= 1500 sf,1.5,74,South Main Street,1062,74 South Main Street MA 1062,46
88,0.15,<= 1/4 acre,264.5677,382.0758,338.5203,4+ beds,5,92,91.6973,0.381818,Closer,2,yes,88,42.31209,-72.6343,1,0,8,34.6593,181,332.5,319.6,356.265,> 1500 sf,2.448,145,South Street,1060,145 South Street MA 1060,75
89,0.35,> 1/4 acre,470.6674,798.6245,539.2387,4+ beds,5,73,42.4286,0.624432,Farther Away,2,yes,89,42.30919,-72.6391,3,1,14,9.014561,322,695,509.1,513.096,> 1500 sf,4.03,250,South Street,1060,250 South Street MA 1060,51
90,0.25,<= 1/4 acre,202.4455,286.1259,228.2576,4+ beds,4,37,34.05255,1.891061,Farther Away,1,yes,90,42.32348,-72.6898,2,0,7,16.82061,138.5,249,215.5,236.498,> 1500 sf,1.638,104,Spruce Hill Avenue,1062,104 Spruce Hill Avenue MA 1062,20
91,0.43,> 1/4 acre,218.5242,314.8534,283.4419,4+ beds,4,37,77.24785,1.887273,Farther Away,1,yes,91,42.32321,-72.6904,2,0,7,35.3498,149.5,274,267.6,295.772,> 1500 sf,1.772,126,Spruce Hill Avenue,1062,126 Spruce Hill Avenue MA 1062,20
92,0.09,<= 1/4 acre,278.4539,472.2801,405.7795,1-2 beds,2,95,143.0062,0.416477,Closer,4,yes,92,42.32279,-72.6347,2,0,5,51.35722,190.5,411,383.1,421.46,> 1500 sf,2.137,134,State St,1060,134 State St MA 1060,88
93,0.05,<= 1/4 acre,168.0955,290.7223,212.4755,1-2 beds,2,97,64.9275,0.038826,Closer,0,no,93,42.32766,-72.6357,2,0,4,38.62536,115,253,200.6,233.023,<= 1500 sf,0.934,279,State St,1060,279 State St MA 1060,66
94,0.22,<= 1/4 acre,203.1763,288.9987,252.937,3 beds,3,73,76.6377,0.144508,Closer,2,yes,94,42.33761,-72.663,1,1,5,37.7198,139,251.5,238.8,279.814,<= 1500 sf,1.457,95,Straw Ave,1062,95 Straw Ave MA 1062,51
95,0.25,<= 1/4 acre,271.1454,408.5051,378.1344,4+ beds,4,83,76.26265,0.15322,Closer,1,yes,95,42.33474,-72.6648,4,0,7,28.12611,185.5,355.5,357,347.408,> 1500 sf,1.737,26,Sumner Avenue,1062,26 Sumner Avenue MA 1062,58
96,0.12,<= 1/4 acre,194.4061,303.937,236.6253,3 beds,3,71,72.8839,0.258712,Closer,1,yes,96,42.33256,-72.6233,1,0,6,37.49054,133,264.5,223.4,267.29,<= 1500 sf,1.262,22,Swan Street,1060,22 Swan Street MA 1060,46
97,0.26,> 1/4 acre,381.5037,669.9253,698.5424,4+ beds,6,89,497.8243,0.458144,Closer,1,yes,97,42.32169,-72.6352,3,0,12,130.49,261,583,659.5,879.328,> 1500 sf,3.175,40,Trumbull Road,1060,40 Trumbull Road MA 1060,89
98,0.23,<= 1/4 acre,151.286,225.7982,227.4102,1-2 beds,2,18,40.12105,3.97678,Farther Away,0,no,98,42.31063,-72.7288,2,0,6,26.52001,103.5,196.5,214.7,191.407,<= 1500 sf,1.041,164,Turkey Hill Rd,1062,164 Turkey Hill Rd MA 1062,8
